# Herculex Program,name,weeks,periodization
program,Full Body Beginner,4,linear
week,dayOfWeek,dayName,exercise,sets,repsMin,repsMax,rpe,setType,percent1Rm,equipment
0,1,Full Body A,Barbell Back Squat,3,5,5,7,standard,,barbell
0,1,Full Body A,Barbell Bench Press,3,5,5,7,standard,,barbell
0,1,Full Body A,Barbell Row,3,5,5,7,standard,,barbell
0,1,Full Body A,Plank,3,30,45,,standard,,
0,3,Full Body B,Barbell Back Squat,3,5,5,7,standard,,barbell
0,3,Full Body B,Overhead Press,3,5,5,7,standard,,barbell
0,3,Full Body B,Conventional Deadlift,1,5,5,8,standard,,barbell
0,3,Full Body B,Plank,3,30,45,,standard,,
0,5,Full Body A,Barbell Back Squat,3,5,5,7,standard,,barbell
0,5,Full Body A,Barbell Bench Press,3,5,5,7,standard,,barbell
0,5,Full Body A,Barbell Row,3,5,5,7,standard,,barbell
0,5,Full Body A,Plank,3,30,45,,standard,,
1,1,Full Body A,Barbell Back Squat,3,5,5,7,standard,,barbell
1,1,Full Body A,Barbell Bench Press,3,5,5,7,standard,,barbell
1,1,Full Body A,Barbell Row,3,5,5,7,standard,,barbell
1,1,Full Body A,Plank,3,30,45,,standard,,
1,3,Full Body B,Barbell Back Squat,3,5,5,7,standard,,barbell
1,3,Full Body B,Overhead Press,3,5,5,7,standard,,barbell
1,3,Full Body B,Conventional Deadlift,1,5,5,8,standard,,barbell
1,3,Full Body B,Plank,3,30,45,,standard,,
1,5,Full Body A,Barbell Back Squat,3,5,5,7,standard,,barbell
1,5,Full Body A,Barbell Bench Press,3,5,5,7,standard,,barbell
1,5,Full Body A,Barbell Row,3,5,5,7,standard,,barbell
1,5,Full Body A,Plank,3,30,45,,standard,,
2,1,Full Body A,Barbell Back Squat,3,5,5,7,standard,,barbell
2,1,Full Body A,Barbell Bench Press,3,5,5,7,standard,,barbell
2,1,Full Body A,Barbell Row,3,5,5,7,standard,,barbell
2,1,Full Body A,Plank,3,30,45,,standard,,
2,3,Full Body B,Barbell Back Squat,3,5,5,7,standard,,barbell
2,3,Full Body B,Overhead Press,3,5,5,7,standard,,barbell
2,3,Full Body B,Conventional Deadlift,1,5,5,8,standard,,barbell
2,3,Full Body B,Plank,3,30,45,,standard,,
2,5,Full Body A,Barbell Back Squat,3,5,5,7,standard,,barbell
2,5,Full Body A,Barbell Bench Press,3,5,5,7,standard,,barbell
2,5,Full Body A,Barbell Row,3,5,5,7,standard,,barbell
2,5,Full Body A,Plank,3,30,45,,standard,,
3,1,Full Body A,Barbell Back Squat,3,5,5,7,standard,,barbell
3,1,Full Body A,Barbell Bench Press,3,5,5,7,standard,,barbell
3,1,Full Body A,Barbell Row,3,5,5,7,standard,,barbell
3,1,Full Body A,Plank,3,30,45,,standard,,
3,3,Full Body B,Barbell Back Squat,3,5,5,7,standard,,barbell
3,3,Full Body B,Overhead Press,3,5,5,7,standard,,barbell
3,3,Full Body B,Conventional Deadlift,1,5,5,8,standard,,barbell
3,3,Full Body B,Plank,3,30,45,,standard,,
3,5,Full Body A,Barbell Back Squat,3,5,5,7,standard,,barbell
3,5,Full Body A,Barbell Bench Press,3,5,5,7,standard,,barbell
3,5,Full Body A,Barbell Row,3,5,5,7,standard,,barbell
3,5,Full Body A,Plank,3,30,45,,standard,,
