# Herculex Program,name,weeks,periodization
program,Push Pull Legs,4,linear
week,dayOfWeek,dayName,exercise,sets,repsMin,repsMax,rpe,setType,percent1Rm,equipment
0,1,Push A,Barbell Bench Press,4,8,10,8,standard,,barbell
0,1,Push A,Overhead Press,3,8,10,7,standard,,barbell
0,1,Push A,Incline Dumbbell Press,3,10,12,7,standard,,dumbbell
0,1,Push A,Dumbbell Lateral Raise,3,12,15,7,standard,,dumbbell
0,1,Push A,Tricep Pushdown (Rope),3,12,15,7,standard,,cable
0,2,Pull A,Conventional Deadlift,3,5,5,8,standard,,barbell
0,2,Pull A,Barbell Row,4,8,10,7,standard,,barbell
0,2,Pull A,Lat Pulldown (Wide Grip),3,10,12,7,standard,,
0,2,Pull A,Face Pull,3,15,15,7,standard,,
0,2,Pull A,Barbell Bicep Curl,3,12,12,7,standard,,barbell
0,3,Legs A,Barbell Back Squat,4,8,8,8,standard,,barbell
0,3,Legs A,Romanian Deadlift,3,10,10,7,standard,,barbell
0,3,Legs A,Leg Press,3,12,12,7,standard,,
0,3,Legs A,Lying Leg Curl,3,12,12,7,standard,,
0,3,Legs A,Standing Calf Raise,3,15,15,7,standard,,
0,4,Push B,Close Grip Bench Press,4,8,8,8,standard,,barbell
0,4,Push B,Dumbbell Bench Press,3,10,10,7,standard,,dumbbell
0,4,Push B,Dumbbell Lateral Raise,3,15,15,7,standard,,dumbbell
0,4,Push B,Dip,3,10,12,7,standard,,
0,4,Push B,Tricep Pushdown (Rope),3,12,12,7,standard,,cable
0,5,Pull B,Pull-Up (Wide Grip),4,6,10,7,standard,,
0,5,Pull B,Barbell Row,3,10,10,7,standard,,barbell
0,5,Pull B,Lat Pulldown (Wide Grip),3,12,12,7,standard,,
0,5,Pull B,Face Pull,3,15,15,7,standard,,
0,5,Pull B,Hammer Curl,3,12,12,7,standard,,dumbbell
0,6,Legs B,Leg Press,4,10,10,8,standard,,
0,6,Legs B,Dumbbell Lunge,3,10,10,7,standard,,dumbbell
0,6,Legs B,Lying Leg Curl,3,12,12,7,standard,,
0,6,Legs B,Standing Calf Raise,3,15,15,7,standard,,
1,1,Push A,Barbell Bench Press,4,8,10,8,standard,,barbell
1,1,Push A,Overhead Press,3,8,10,7,standard,,barbell
1,1,Push A,Incline Dumbbell Press,3,10,12,7,standard,,dumbbell
1,1,Push A,Dumbbell Lateral Raise,3,12,15,7,standard,,dumbbell
1,1,Push A,Tricep Pushdown (Rope),3,12,15,7,standard,,cable
1,2,Pull A,Conventional Deadlift,3,5,5,8,standard,,barbell
1,2,Pull A,Barbell Row,4,8,10,7,standard,,barbell
1,2,Pull A,Lat Pulldown (Wide Grip),3,10,12,7,standard,,
1,2,Pull A,Face Pull,3,15,15,7,standard,,
1,2,Pull A,Barbell Bicep Curl,3,12,12,7,standard,,barbell
1,3,Legs A,Barbell Back Squat,4,8,8,8,standard,,barbell
1,3,Legs A,Romanian Deadlift,3,10,10,7,standard,,barbell
1,3,Legs A,Leg Press,3,12,12,7,standard,,
1,3,Legs A,Lying Leg Curl,3,12,12,7,standard,,
1,3,Legs A,Standing Calf Raise,3,15,15,7,standard,,
1,4,Push B,Close Grip Bench Press,4,8,8,8,standard,,barbell
1,4,Push B,Dumbbell Bench Press,3,10,10,7,standard,,dumbbell
1,4,Push B,Dumbbell Lateral Raise,3,15,15,7,standard,,dumbbell
1,4,Push B,Dip,3,10,12,7,standard,,
1,4,Push B,Tricep Pushdown (Rope),3,12,12,7,standard,,cable
1,5,Pull B,Pull-Up (Wide Grip),4,6,10,7,standard,,
1,5,Pull B,Barbell Row,3,10,10,7,standard,,barbell
1,5,Pull B,Lat Pulldown (Wide Grip),3,12,12,7,standard,,
1,5,Pull B,Face Pull,3,15,15,7,standard,,
1,5,Pull B,Hammer Curl,3,12,12,7,standard,,dumbbell
1,6,Legs B,Leg Press,4,10,10,8,standard,,
1,6,Legs B,Dumbbell Lunge,3,10,10,7,standard,,dumbbell
1,6,Legs B,Lying Leg Curl,3,12,12,7,standard,,
1,6,Legs B,Standing Calf Raise,3,15,15,7,standard,,
2,1,Push A,Barbell Bench Press,4,8,10,8,standard,,barbell
2,1,Push A,Overhead Press,3,8,10,7,standard,,barbell
2,1,Push A,Incline Dumbbell Press,3,10,12,7,standard,,dumbbell
2,1,Push A,Dumbbell Lateral Raise,3,12,15,7,standard,,dumbbell
2,1,Push A,Tricep Pushdown (Rope),3,12,15,7,standard,,cable
2,2,Pull A,Conventional Deadlift,3,5,5,8,standard,,barbell
2,2,Pull A,Barbell Row,4,8,10,7,standard,,barbell
2,2,Pull A,Lat Pulldown (Wide Grip),3,10,12,7,standard,,
2,2,Pull A,Face Pull,3,15,15,7,standard,,
2,2,Pull A,Barbell Bicep Curl,3,12,12,7,standard,,barbell
2,3,Legs A,Barbell Back Squat,4,8,8,8,standard,,barbell
2,3,Legs A,Romanian Deadlift,3,10,10,7,standard,,barbell
2,3,Legs A,Leg Press,3,12,12,7,standard,,
2,3,Legs A,Lying Leg Curl,3,12,12,7,standard,,
2,3,Legs A,Standing Calf Raise,3,15,15,7,standard,,
2,4,Push B,Close Grip Bench Press,4,8,8,8,standard,,barbell
2,4,Push B,Dumbbell Bench Press,3,10,10,7,standard,,dumbbell
2,4,Push B,Dumbbell Lateral Raise,3,15,15,7,standard,,dumbbell
2,4,Push B,Dip,3,10,12,7,standard,,
2,4,Push B,Tricep Pushdown (Rope),3,12,12,7,standard,,cable
2,5,Pull B,Pull-Up (Wide Grip),4,6,10,7,standard,,
2,5,Pull B,Barbell Row,3,10,10,7,standard,,barbell
2,5,Pull B,Lat Pulldown (Wide Grip),3,12,12,7,standard,,
2,5,Pull B,Face Pull,3,15,15,7,standard,,
2,5,Pull B,Hammer Curl,3,12,12,7,standard,,dumbbell
2,6,Legs B,Leg Press,4,10,10,8,standard,,
2,6,Legs B,Dumbbell Lunge,3,10,10,7,standard,,dumbbell
2,6,Legs B,Lying Leg Curl,3,12,12,7,standard,,
2,6,Legs B,Standing Calf Raise,3,15,15,7,standard,,
3,1,Push A,Barbell Bench Press,4,8,10,8,standard,,barbell
3,1,Push A,Overhead Press,3,8,10,7,standard,,barbell
3,1,Push A,Incline Dumbbell Press,3,10,12,7,standard,,dumbbell
3,1,Push A,Dumbbell Lateral Raise,3,12,15,7,standard,,dumbbell
3,1,Push A,Tricep Pushdown (Rope),3,12,15,7,standard,,cable
3,2,Pull A,Conventional Deadlift,3,5,5,8,standard,,barbell
3,2,Pull A,Barbell Row,4,8,10,7,standard,,barbell
3,2,Pull A,Lat Pulldown (Wide Grip),3,10,12,7,standard,,
3,2,Pull A,Face Pull,3,15,15,7,standard,,
3,2,Pull A,Barbell Bicep Curl,3,12,12,7,standard,,barbell
3,3,Legs A,Barbell Back Squat,4,8,8,8,standard,,barbell
3,3,Legs A,Romanian Deadlift,3,10,10,7,standard,,barbell
3,3,Legs A,Leg Press,3,12,12,7,standard,,
3,3,Legs A,Lying Leg Curl,3,12,12,7,standard,,
3,3,Legs A,Standing Calf Raise,3,15,15,7,standard,,
3,4,Push B,Close Grip Bench Press,4,8,8,8,standard,,barbell
3,4,Push B,Dumbbell Bench Press,3,10,10,7,standard,,dumbbell
3,4,Push B,Dumbbell Lateral Raise,3,15,15,7,standard,,dumbbell
3,4,Push B,Dip,3,10,12,7,standard,,
3,4,Push B,Tricep Pushdown (Rope),3,12,12,7,standard,,cable
3,5,Pull B,Pull-Up (Wide Grip),4,6,10,7,standard,,
3,5,Pull B,Barbell Row,3,10,10,7,standard,,barbell
3,5,Pull B,Lat Pulldown (Wide Grip),3,12,12,7,standard,,
3,5,Pull B,Face Pull,3,15,15,7,standard,,
3,5,Pull B,Hammer Curl,3,12,12,7,standard,,dumbbell
3,6,Legs B,Leg Press,4,10,10,8,standard,,
3,6,Legs B,Dumbbell Lunge,3,10,10,7,standard,,dumbbell
3,6,Legs B,Lying Leg Curl,3,12,12,7,standard,,
3,6,Legs B,Standing Calf Raise,3,15,15,7,standard,,
